Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
9-Jan-22,14,"1,429.90","1,507.14",138.37,137.86,0.00,0.51,126.25,125.73,0.08,0.44,34,28
9-Jan-22,15,"1,413.70","1,499.25",135.26,135.01,0.00,0.25,116.55,116.18,0.16,0.21,35,28
9-Jan-22,16,"1,426.80","1,497.85",142.61,142.51,0.00,0.10,118.69,118.36,0.12,0.21,35,28
9-Jan-22,17,"1,501.20","1,563.78",169.40,169.84,0.00,-0.44,119.66,119.40,0.11,0.15,35,28
9-Jan-22,18,"1,502.00","1,610.84",202.44,203.28,0.00,-0.84,123.81,123.52,0.00,0.29,35,29
9-Jan-22,19,"1,477.00","1,565.16",179.03,179.80,0.00,-0.77,106.13,105.80,0.29,0.04,35,30
9-Jan-22,20,"1,397.20","1,491.60",150.24,149.90,0.00,0.34,107.24,106.85,0.26,0.13,36,31
9-Jan-22,21,"1,317.80","1,416.00",133.58,133.72,0.00,-0.14,100.58,100.51,0.00,0.07,36,31
9-Jan-22,22,"1,217.20","1,311.36",125.31,125.69,0.01,-0.39,85.46,85.57,0.00,-0.11,36,31
9-Jan-22,23,"1,142.70","1,207.97",118.43,118.80,-0.22,-0.15,78.45,77.10,1.61,-0.26,36,32
9-Jan-22,24,"1,053.90","1,132.36",81.13,81.38,0.00,-0.25,55.85,55.33,0.73,-0.21,37,32
10-Jan-22,01,"1,028.50","1,085.80",88.10,88.57,-0.03,-0.44,-0.72,-0.73,0.01,0.00,38,25
10-Jan-22,02,972.00,"1,065.05",96.97,97.66,-0.04,-0.65,44.89,45.03,0.18,-0.32,36,23
10-Jan-22,03,979.20,"1,066.10",92.74,93.42,-0.06,-0.62,48.50,48.17,0.69,-0.36,34,17
10-Jan-22,04,"1,016.90","1,088.36",98.02,98.61,-0.04,-0.55,41.98,42.12,0.15,-0.29,31,12
10-Jan-22,05,"1,040.30","1,142.14",96.94,97.50,-0.01,-0.55,58.03,58.22,0.19,-0.38,28,9
